Author,Paper,Year,Sample Description,Area,Thickness,Volume,Mass,Power,Energy,Power Density,Energy Density,Color,Shape,,Notes
El-Kady. Ihns. Li. Hwant. Mousavi. Chaney. Lech. Kaner,Engineering three-dimensional hybrid supercapacitors and microsupercapacitors for high-performance integrated energy storage,2015,LSG/Mn02 Asym sandwich,mm^2,mm,mm^3,g,W,Wh,W/l,Wh/l,pink,o,,"Data from paper: Power Density, Energy Density, Thickness. "
,,,,40.28,0.0144,0.580032,0,8.78026E-05,2.54411E-05,151.375498,43.86149674,,,,Assumed: Area (from previous work by this lab)
,,,,,,,,0.000189906,2.52743E-05,327.4063227,43.57400099,,,,"Calculated: Power, Energy, "
,,,,,,,,0.000381257,2.26529E-05,657.3033179,39.05457209,,,,
,,,,,,,,0.000629677,2.09859E-05,1085.589964,36.18052569,,,,
,,,,,,,,0.000906397,1.93822E-05,1562.667208,33.41574518,,,,
,,,,,,,,0.001695661,1.51074E-05,2923.391356,26.04575771,,,,
,,,,,,,,0.002900382,1.11E-05,5000.382618,19.13679025,,,,
,,,,,,,,0.003992512,8.90609E-06,6883.261615,15.3544873,,,,
,,,,,,,,0.005087557,7.63899E-06,8771.166182,13.16994953,,,,
,,,,,,,,0.006043885,6.48204E-06,10419.91643,11.17530867,,,,
