Author,Paper,Year,Sample Description,Area,Thickness,Volume,Mass,Power,Energy,Power Density,Energy Density,Color,Shape,,Notes
El-Kady. Ihns. Li. Hwant. Mousavi. Chaney. Lech. Kaner,Engineering three-dimensional hybrid supercapacitors and microsupercapacitors for high-performance integrated energy storage,2015,LSG/MnO2 Sym sandwich,mm^2,mm,mm^3,g,W,Wh,W/l,Wh/l,tan,^,,"Data from paper: Power Density, Energy Density, Thickness. "
,,,,40.28,0.0144,0.580032,0,4.52E-06,1.34E-05,7.788543903,23.12646686,,,,Assumed: Area (from previous work by this lab)
,,,,,,,,6.71E-06,1.33E-05,11.5685878,22.95254574,,,,"Calculated: Power, Energy, "
,,,,,,,,8.88E-06,1.32E-05,15.31613719,22.75331393,,,,
,,,,,,,,1.32E-05,1.31E-05,22.76387775,22.54261098,,,,
,,,,,,,,1.74E-05,1.30E-05,29.92948712,22.37467714,,,,
,,,,,,,,2.14E-05,1.27E-05,36.82162788,21.93573245,,,,
,,,,,,,,3.12E-05,1.23E-05,53.70674612,21.23026467,,,,
,,,,,,,,4.62E-05,1.16E-05,79.61320323,19.95099801,,,,
,,,,,,,,9.34E-05,9.96E-06,161.0482858,17.17757025,,,,
,,,,,,,,0.000190255,8.15E-06,328.0079988,14.05171501,,,,
,,,,,,,,0.000396541,6.15E-06,683.6541796,10.61024193,,,,
,,,,,,,,0.001082669,3.52E-06,1866.567313,6.071688876,,,,
,,,,,,,,0.003009826,1.89E-06,5189.068973,3.26046631,,,,
