Author,Paper,Year,Sample Description,Area,Thickness,Volume,Mass,Power,Energy,Color,Shape
Cowell,None,2014,Dispenser printed. 5% discharge,cm^2,cm,cm^3,g,W,Wh,r,o
,,,,1,0.02,0.02,0,0.000793,1.52E-06,,
,,,,,,,,0.001534,1.34E-06,,
,,,,,,,,0.002268,1.24E-06,,
,,,,,,,,0.002903,1.03E-06,,
,,,,,,,,0.004107,8.01E-07,,
,,,,,,,,0.005313,6.74E-07,,
,,,,,,,,0.006369,5.41E-07,,
,,,,,,,,0.007501,4.31E-07,,
,,,,,,,,0.008285,3.41E-07,,
,,,,,,,,0.00882,2.77E-07,,
,,,,,,,,0.00979,0.000000215,,
,,,,,,,,0.009574,1.64E-07,,
