Author,Paper,Year,Sample Description,Area,Thickness,Volume,Mass,Power,Energy,Color,Shape
Kaner. El-Kady,Scalable fabrication of high-power graphene micro-supercapacitors for flexible and on-chip energy storage,2013,3V 300microF Al electrolytic capacitor. commercial,cm^2,cm,cm^3,g,W,Wh,0.75,D
,,,,0,0,1,0,1.53093571,1.27E-06,,
,,,,,,,,2.529433188,1.25E-06,,
,,,,,,,,3.582458648,1.24E-06,,
,,,,,,,,4.896936899,1.23E-06,,
,,,,,,,,6.541264154,1.23E-06,,
,,,,,,,,8.759478839,1.23E-06,,
,,,,,,,,14.54735292,1.22E-06,,
,,,,,,,,20.93059161,1.21E-06,,
,,,,,,,,29.53558058,1.20E-06,,
,,,,,,,,48.03746949,1.20E-06,,
,,,,,,,,64.45252909,1.19E-06,,
,,,,,,,,89.15504746,1.18E-06,,
,,,,,,,,136.7880383,1.17E-06,,
